latitude,longitude,stationName,isEnabled,statusText
10.38944444,104.5072222,Trạm Hà Tiên,1,Đang hoạt động
9.04138889,105.4263889,Trạm Gành Hào,1,Đang hoạt động
10.22888889,103.9669444,Trạm Phú Quốc,1,Đang hoạt động
